name ra dec
0 117.13700866699219 19.371322631835938
1 130.7330322265625 22.575538635253906
2 163.66357421875 5.592619895935059
3 123.6034164428711 47.45636749267578
4 132.97669982910156 2.2425200939178467
5 175.0653533935547 30.11508560180664
6 205.48696899414062 0.5028740167617798
7 120.83368682861328 25.43400764465332
8 231.78990173339844 22.30058479309082
9 230.36985778808594 21.69563865661621
10 163.67974853515625 -1.1171690225601196
11 252.02316284179688 36.14030838012695
12 210.22396850585938 54.50338363647461
13 194.95616149902344 14.09640884399414
14 147.5960235595703 29.036907196044922
15 132.2484130859375 20.594255447387695
16 131.74217224121094 46.83640670776367
17 194.86474609375 4.024550914764404
18 129.1979522705078 4.370680809020996
19 200.22088623046875 25.994314193725586
20 127.204833984375 8.981907844543457
21 192.0887451171875 10.26264476776123
22 235.35049438476562 27.016841888427734
23 125.1953353881836 4.1137471199035645
24 155.00498962402344 39.43263244628906
25 254.81060791015625 38.150230407714844
26 127.59042358398438 11.360715866088867
27 215.35269165039062 42.500892639160156
28 344.8564147949219 -0.8390169739723206
29 121.29786682128906 43.50673294067383
30 172.3262481689453 40.060279846191406
31 131.55123901367188 32.31022262573242
32 218.9265594482422 42.55563735961914
33 163.2316131591797 23.59149169921875
34 160.17755126953125 28.97959327697754
35 235.85348510742188 23.58225440979004
36 150.31809997558594 38.74827575683594
37 178.89340209960938 3.4030721187591553
38 178.55780029296875 40.50005340576172
39 240.4098358154297 3.312505006790161
40 51.709537506103516 0.9892309904098511
41 235.80990600585938 41.874244689941406
42 112.18090057373047 34.97022247314453
43 182.82028198242188 40.37897491455078
44 180.68753051757812 14.874957084655762
45 172.19239807128906 -3.5316789150238037
46 192.41082763671875 0.4054119884967804
47 118.75096893310547 32.60142517089844
48 135.23146057128906 21.26595115661621
49 148.30328369140625 41.92552185058594
50 153.6490478515625 5.006768226623535
51 139.08644104003906 29.522390365600586
52 164.3787078857422 31.086750030517578
53 164.64401245117188 41.98127746582031
54 229.75840759277344 16.3765869140625
55 188.0784454345703 34.70917510986328
56 176.53488159179688 39.969993591308594
57 171.76983642578125 -2.0986509323120117
58 161.6185760498047 54.927852630615234
59 165.31845092773438 2.3699710369110107
60 234.70460510253906 1.4942890405654907
61 190.25868225097656 32.400638580322266
